Unknown,STPIB/Import/06052009/0056/3956,Dell - KS -PE-2900 - with Accessories,USD,1000.00,1000.00,49200.00,11-16/02/2009,16/02/2009,969854,13/02/2009,49692.00,,,Outright Purchase,,6248.00,Bangalore
Unknown,STPIB/Import/06072007/0007/17431,Sharp Brand Projector,INR,55000.00,55000.00,55000.00,90 -26/7/07,26/07/2007,11120,25/07/2007,55550.00,,,Outright Purchase,,18961.00,Bangalore
Unknown,STPIB/Import/25052009/0058/6163,Dell KS- MD30001 Power Vault,USD,1163.00,1163.00,58498.90,14-01/06/2009,01/06/2009,140835,27/05/2009,59083.89,,,Outright Purchase,,,Bangalore
Unknown,IMP/2001/092101/10202,Office Furniture,USD,58293.00,1260.40,60814.30,10-2001,18/10/2001,45325,15/10/2001,61422.00,38612.00,,Outright Purchase,,38612.00,Bangalore
Unknown,STPIB/Import/23092008/0094/26003,Monitor with Accessories,USD,1640.00,1640.00,69782.00,04 -10/10/2008,10/10/2008,830896,14/08/2008,70479.82,,,Outright Purchase,,13389.00,Bangalore
Unknown,STPIB/Import/23122009/0121/34506,Computer System with Accessories,USD,1574.00,1574.00,74292.80, 40-25/01/2010 ,25/01/2010,316200,20/01/2010,75043.15,,,Outright Purchase,,7285.16,Bangalore
Unknown,STPIB/Import/29062010/0077/12590,APPC0118 - MC374HN/A,USD,1574.00,1574.00,73899.30, 18-14-07-2010 ,14/07/2010,458773,08/07/2010,74638.29,,,Outright Purchase,,2745.00,Bangalore
Unknown,STPIB/Import/16122010/0099/36461,Dell Latitude E -4310,USD,1633.00,1633.00,75362.95, 42-24-12-2010 ,24/12/2010,2459107,21/12/2010,76117.05,,,Outright Purchase,,11198.00,Bangalore
Unknown,STPIB/IMP/11122003/0041/23324,Network Equipment,USD,1700.00,1700.00,78200.00,36-2003,17/12/2003,541994,12/12/2003,78982.00,30594.00,,Outright Purchase,,30594.00,Bangalore
Unknown,STPIB/IMP/16022005/0033/39676,Computersystems with accessories,USD,2987.00,2987.00,80350.00,53/2005,10/03/2005,1074,02/03/2005,81154.00,,,Outright Purchase,,17010.00,Bangalore
Unknown,STPIB/IMP/27112003/0029/21750,Multimedia Projector,INR,82000.00,82000.00,82000.00,35-2003,11/12/2003,7762,11/12/2003,82820.00,42073.00,,Outright Purchase,,42073.10,Bangalore
Unknown,STPIB/Import/30122009/0144/35151,Monitor with Accessories,INR,83720.00,83720.00,83720.00, 41-15/01/2010 ,15/01/2010,100450,22/01/2010,80499.65,,,Outright Purchase,,8960.00,Bangalore
Unknown,STPIB/Import/08032011/0057/46179,Access Point License,USD,1826.00,1826.00,83448.20, 52-22-03-2011 ,22/03/2011,2977612,16/03/2011,84282.67,,,Outright Purchase,,12559.00,Bangalore
Unknown,STPIB/IMP/21012004/0004/27054,WCP 420 (Xerox Machine),USD,1900.00,1900.00,86355.00,40-2003,01/04/2004,583011,12/03/2004,87218.00,24072.00,,Outright Purchase,,24072.32,Bangalore
Unknown,STPIB/Import/15102009/0028/24342,Mac-book Laptop with Accessories,USD,1880.00,1880.00,91368.00, 32-19/11/2009 ,26/11/2009,243966,16/10/2009,92290.80,,,Outright Purchase,,11599.00,Bangalore
Unknown,STPIB/Import/12082009/0051/16230,Comupter Hardware (UM402),USD,1948.00,1948.00,94867.60,24-19/8/2009,19/08/2009,1999690,18/08/2009,95816.28,,,Outright Purchase,,12044.00,Bangalore
Unknown,STPIB/IMP/08122003/0051/22869,D-600 Dell Lattitude,USD,2152.00,2152.00,98992.00,37-2003,16/12/2003,544913,18/12/2003,99982.00,38729.00,,Outright Purchase,,38729.00,Bangalore
Unknown,STPIB/Import/23032010/0042/45871,SMF Batteries Rocket,INR,,101376.00,101376.00, 7- 22-04-2010 ,26/04/2010,5932,13/04/2010,101376.00,,,Outright Purchase,,27490.00,Bangalore
Unknown,STPIB/Import/06052009/0052/3951,Server wih accessories (Dell -2950M),USD,2030.00,2030.00,102109.00,13-09/03/2009,09/03/2009,984845,06/03/2009,103130.09,,,Outright Purchase,,12964.00,Bangalore
Unknown,STPIB/Import/16062007/0010/13426,Networking Equipment (Csco1064 - ASA5510 BUNK),USD,2500.00,2500.00,102250.00,87 -29/6/07,29/06/2007,466442,16/06/2007,103272.50,,,Outright Purchase,,12764.50,Bangalore
Unknown,STPIB/Import/07092010/0057/22570,"Monitor with Accessories (ST2410 24""full HD)",INR,109423.00,109423.00,105215.00, 31-08-10-2010 ,08/10/2010,106548,04/09/2010,105215.00,,,Outright Purchase,,14993.00,Bangalore
Unknown,STPIB/Import/24012011/0031/40866,Macbook Pro - Appco112,USD,2283.00,2283.00,104903.85, 50-21-02-2011 ,21/02/2011,2765873,10/02/2011,105952.00,,,Outright Purchase,,15588.00,Bangalore
Unknown,STPIB/Import/22062010/0138/11635,Sound Station -IP 700 (SIP),USD,2391.00,2391.00,114367.72, 16- 30-06-2010 ,30/06/2010,447441,25/06/2010,115511.40,,,Outright Purchase,,16994.00,Bangalore
Unknown,STPIB/IMP/14022005/0042/39351,Computersystems with accessories,USD,2700.00,2700.00,118665.00,55/2005,31/03/2005,787172,24/03/2005,119852.00,,,Outright Purchase,,25536.00,Bangalore
Unknown,STPIB/Import/22122010/0155/37207,Sound Station IP 7000,USD,2989.00,2989.00,112468.65, 43-04-01-2011 ,04/01/2011,2489105,27/12/2010,120731.14,,,Outright Purchase,,17762.00,Bangalore
Unknown,STPIB/Import/12052011/0034/5449 Dt.12-5-2011,Dell Monitor with LED Future,USD,3265.00,2695.00,121275.00,03/11-12,06/06/2011,3570571,21/05/2011,122487.75,,,Outright Purchase,,18021.00,Bangalore
Unknown,IMP/2001/092102/10203,Communication Equipment,USD,12049.00,2780.00,134135.00,11-2001,31/10/2001,46920,24/10/2001,135476.00,52478.00,,Outright Purchase,,52478.00,Bangalore
